Year	Cod_F47	CODR2	CODSSB	CODWC3	Her_F36	HERR1	HERSSB	HERWC3	Spr_F35	SPRR1	SPRSSB	SPRWC3	Acartia_Spr	Acartia_Sum	Temora_Spr	Temora_Sum	Pseudo_Spr	Pseudo_Sum	Chla_BBSpr	Chla_BBSum	Chla_GBSpr	Chla_GBSum	dia_BB_spr	dia_GB_spr	dia_BB_sum	dia_GB_sum	dino_BB_spr	dino_GB_spr	dino_BB_sum	dino_GB_sum	cyano_BB_spr	cyano_GB_spr	cyano_BB_sum	cyano_GB_sum	DIN_BB_10_win	DIP_BB_10_win	DIN_GB_10_win	DIP_GB_10_win	DIN_BB_90_sum	DIP_BB_90_sum	DIN_GB_220	DIP_GB_220	MaxIce	NAO_new	11psu_GBAnn	SST_BB_Spr	SST_GB_Spr	SST_BB_Sum	SST_GB_Sum	T_BB_60_spr	T_GB_60_spr	T_BB_60_sum	T_GB_60_sum	SSS_BB	SSS_GB	S90_BB	S100_GB	O2_BB	O2_GB	AnoxicArea	COD_RV
1975	0.6955	303683	339545	0.671	0.192	20437.996	1651.716	0.052	0.3524	37655	819	0.0124	2.244025851	2.936401723	1.49764887	3.535379652	3.911362789	3.998928473	1.033184483	1.296369654	1.324640564	1.218413488	0	4.783316371	2.833213344	3.36729583	0	4.709530201	4.882801923	4.894101478	0	2.351375257	6.90895456	6.107022888	1.506297154	0.508322494	1.486139696	0.395414772	1.8017098	1.2753628	1.150572028	1.637053079	57	0.62	4.677676877	3.5716667	6.71	11.476666	13.662857	4.52	5.5533333	5.0646667	4.66375	7.91525	7.4401426	14.227467	10.369286	0.764	-0.77	20549.03367	115.5
1976	0.9261	293397	355564	0.671	0.1849	33492.964	1435.751	0.04	0.3589	200986	635	0.0127	2.029178376	3.363933202	0.747960027	3.743557646	3.448163784	4.665650493	1.033184483	1.296369654	1.324640564	1.218413488	0	4.783316371	2.833213344	3.36729583	0	4.709530201	4.882801923	4.894101478	0	2.351375257	6.90895456	6.107022888	1.506297154	0.508322494	1.486139696	0.395414772	2.026831591	0.751416089	1.530394705	1.584120104	188	0.89	4.71088064	5.165	3.1566668	14.428333	12.831667	3.0783334	2.8833334	5.6608334	3.225	7.7369165	7.5068336	15.6988	9.6762	3.939	0.205	4091.465785	574.333
1977	0.844	479002	326914	0.671	0.1781	18007.806	1590.943	0.05	0.3279	40964	916	0.0134	1.521184856	3.647503921	1.025149808	4.465006132	3.955760321	4.476038031	1.033184483	1.296369654	1.324640564	1.218413488	0	4.783316371	2.833213344	3.36729583	0	4.709530201	4.882801923	4.894101478	0	2.351375257	6.90895456	6.107022888	1.506297154	0.508322494	1.486139696	0.395414772	2.223541886	0.930014292	2.070653036	1.199964783	189	-1.88	4.557239652	4.5127778	3.29047625	13.263913	12.0222225	3.0624167	2.9188095	4.2739286	3.06625	7.6532607	7.8146667	16.379725	10.767858	1.7989656	1.304	5446.385446	462.033
1978	0.5358	829398	379201	0.671	0.1556	21450.896	1545.292	0.043	0.3189	16769	643	0.0125	1.701579441	2.504526565	0.925785513	2.611370384	3.898597789	4.804367184	1.033184483	1.296369654	1.324640564	1.218413488	0	4.783316371	2.833213344	3.36729583	0	4.709530201	4.882801923	4.894101478	0	2.351375257	6.90895456	6.107022888	1.506297154	0.508322494	1.486139696	0.395414772	2.207174908	1.031403539	2.068127782	1.229640551	193	-0.77	4.577593418	3.8605556	3.4242857	12.417334	11.529091	3.0465	2.9542856	3.996087	3.1366668	7.8496	7.652727	15.56775	10.805857	1.3046154	0.50666666	15387.66895	280.133
1979	0.4952	615355	579671	0.671	0.1841	16504.337	1497.421	0.059	0.2409	33891	388	0.013	1.887596026	4.05063211	1.140809337	3.901959412	4.402957991	4.277447064	1.033184483	1.296369654	1.324640564	1.218413488	0	4.783316371	2.833213344	3.36729583	0	4.709530201	4.882801923	4.894101478	0	2.351375257	6.90895456	6.107022888	1.486139696	0.428530381	1.444563269	0.364643114	1.86872051	0.770769392	0.737164066	1.514027728	305	-1.18	4.681575517	6.1164284	4.3688096	15.025416	12.757391	1.4254545	2.35880945	3.3157692	2.294762	8.035542	7.604375	14.680583	10.243566	2.0524	-0.101111114	13807.69668	123.238
1980	0.7342	425886	696743	0.671	0.1826	22954.73	1381.138	0.054	0.267	22642	250	0.0143	2.044377677	4.305786584	1.317680882	3.988065672	4.736646484	4.441490452	0.885831524	1.395192158	0.854415328	1.337191648	1.098612289	4.471638793	2.623056988	3.258096538	3.433987204	4.709530201	4.615120517	5.420534999	0	2.351375257	6.571023009	6.107022888	1.324418957	0.43567095	1.383791231	0.368109322	1.957744607	1.061585998	1.520970931	1.625967214	227	-0.78	4.607966273	5.559412	5.3133335	13.004	14.116	3.252	1.7633333	3.5061538	2.2571428	7.96	7.53	16.363571	10.6575	4.6184616	-0.605	22511.47639	378.133
1981	0.8091	689813	666132	0.671	0.1998	36806.48	1285.842	0.053	0.1552	66874	223	0.0161	1.005398385	3.773067052	1.265761543	4.296012429	3.812060157	4.707398558	0.699998656	1.196948189	1.722766598	0.182321557	5.131376912	5.590986981	2.356652314	1.791759469	2.302585093	5.43590303	4.248495242	5.442417711	3.70745584	0	6.056784013	6.098074282	1.451613827	0.471114117	1.426316035	0.383749534	2.039487226	1.286605564	1.954917084	1.72662818	189	-0.54	4.609062601	4.887778	4.6617646	14.571539	14.746667	3.311923	2.4417646	3.8976922	2.8866668	7.8684616	7.3933334	14.257692	10.654445	0.99583334	-1.0066667	19557.17758	64.9
1982	0.7301	693590	670941	0.671	0.1741	35253.764	1407.431	0.053	0.2557	42688	282	0.016	2.266945423	4.524146757	1.390834539	3.188463831	4.461672442	4.370517184	1.418600196	1.318818196	1.203722773	0.701445983	4.441179586	1.098612289	1.992430165	3.417726684	2.047692843	0.405465108	3.663561646	5.033700567	2.995732274	0	2.367123614	5.823045895	1.564440547	0.505343947	1.467106004	0.399148892	2.115049969	1.470175845	2.256541154	1.818076778	243	-0.01	4.744062185	5.6558332	6.320909	16.56762	18.006666	3.268	2.55375	3.8438096	2.468889	7.66775	7.266	13.828714	9.865417	0.65894735	-1.2966666	27801.48967	84.6
1983	0.7124	472374	645258	0.671	0.2294	26945.088	1346.221	0.056	0.1226	153100	423	0.0162	1.486139696	4.002685036	1.234016926	4.053311453	3.127062026	4.026314457	1.254333164	1.058137456	1.017040635	1.117480773	0.510825624	2.140066163	3.907010464	4.007333185	4.543294782	5.37296091	5.043425117	4.33073334	1.299282984	3.091042453	4.90342121	5.442417711	1.665818246	0.538440771	1.506297154	0.414314701	2.373043557	1.121677562	2.306577114	1.749199855	123	-0.01	4.812265653	7.588	5.3225	13.979091	14.245	4.19	3.12	4.235	3.4457142	7.9904547	7.40975	16.617765	9.911834	1.1729412	-1.3425	16759.7876	202.538
1984	0.8896	302921	657667	0.671	0.2328	33170.31	1248.093	0.046	0.173	54579	593	0.0146	2.332274633	4.551551822	1.403909555	4.829925563	4.125217675	4.70345888	1.461111903	1.354760693	0.873383231	1.243193517	4.691347882	4.158883083	4.137829674	3.737669618	1.791759469	5.538645743	2.427748236	0	2.48490665	0	4.276666119	4.976733742	1.238374231	0.488580015	1.498506352	0.484481646	2.269372959	1.287946238	2.350740135	1.830178579	175	-0.40	4.793970709	5.4919047	4.062308	13.916	17.674444	2.873	2.7320833	4.210625	3.805	7.884706	7.6455555	15.437693	9.742857	1.1754545	-1.89	12981.16669	152.938
