Year	Cod_F510	area_ArW	IceareamaxApril	Haddock_F47	Relative_F_Shrimp	Aug-SeptZoopl2000_biom	IceareaminSept	Cod_w8y	BSO	Aug-Sept_Zoopl_Totalbiom	Aug-SeptZoopl1000_biom	Capelin_Mat2	Haddock_w5y	LRD_0_num	Capelin_gr12	NAO	Aug-SeptZoopl180_biom	NBSO	Polarcod_0_num	Herring1-2_biom	SBSO	Cod_w5y	Cod_w3y	Capelin_Condw	BSX	Cod _Rec3	Kola_Salinity	Haddock_M_age3	Krill	Relative_F_Capelin	Haddockk_R3	Shrimp	Krill_S	Polarcod_biom	Cod _mat7	cap0	herring0	TempNE	Capelin_TSB	Haddock_SSB68	area_AW	Cod_0_num	Polarcod_w2y	Jelly	LRD_russ	Haddock3_biom	Haddock_0_num	Cod3_biom	area_MW	FB-aug	TaAnom_East	TempNW	TaAnom_West	Kola_Temperature
1986	0.8649	357.200093	670723.9447	0.56	0.26	1.57739816	72771.29251	5.81	3.0035	8.2567308	4.48951784	0.352441614	1.069	3.835436895	5.6386	0.03	2.1898148	-0.159	4.178055612	0.19116	0.1138	1.47	0.311	4.068165532	2.091	1038709	34.76	0.386	1.075546961	0	410857	1.123	2.103803721	0.3088	49.72	4.05724758	0.84509804	-1.018483333	120	10739.58904	156.5113478	3.312600439	0.0165	2.134305733	28.7525355	307737	2.772321707	1.294412	214.0652842	5.48	-0.67	-0.94328629	-0.32	3.65
1987	0.951	348.4720414	726533.716	0.627	0.1616	0.9875	99484.86914	5.137	2.8287	9.7041667	5.990625	0.646470588	1.047	2.905256049	8.3719	-0.61	2.1175	-0.0439	3.890309217	0.29598	0.0938	1.254	0.211	3.399186071	1.5985	286365	34.78	0.2	0.582063363	0	93620	1.199	2.742725131	0.3828	16.28	3.082426301	0.301029996	-0.290882353	101	7031.125918	135.0557212	2.222716471	0.0164	2.291128398	54.15044248	326113	2.100370545	1.126279	244.2489624	5.14	-1.48	-1.229899194	-0.81	3.43
1988	0.9743	314.2571831	677423.2	0.529	0.1464	0.7827632	127608.1602	4.392	2.8564	4.7790526	1.7550769	0.410502442	0.887	2.311753861	10.1744	-0.13	2.2186923	-0.0447	3.700444101	0.1117246	0.1908	0.79	0.212	4.32295978	1.5655	204645	34.72	0.366	1.073351702	0	40255	1.494	2.824776462	0.086	53.63	4.292787535	3.938819825	-0.750072464	428	36008.2829	160.9775757	2.705007959	0.0161	2.569065127	46.95762712	246471	2.587710965	0.915459	252.5419662	5.68	-0.49	-1.369545455	-1.07	3.75
1989	0.6602	324.6158612	548433.4876	0.343	0.1648	1.5358	139925.0426	4.628	3.4663	6.5338	3.8273333	0.455160745	0.936	2.255272505	8.0798	2.52	1.1706667	-0.0546	4.261381837	0.1775244	0.2747	0.868	0.299	3.794397698	2.2341	172780	34.65	0.2	0.56937391	0	26056	1.708	2.431363764	0.2078	70.36	5.400512086	3.62283548	-0.791454082	864	66222.17558	214.1343559	2.855519156	0.0238	2.089285211	47.41274238	183139	2.238046103	0.89036	189.0265079	6.18	0.69	-0.865238095	-0.04	4.44
1990	0.271	253.4957282	410268.4474	0.227	0.1918	0.8113699	49109.10433	3.565	3.1495	3.966147436	1.9556164	0.646919698	1.054	1.740362689	12.0978	1.96	1.6424658	0.2407	4.509713157	0.4802838	0.0177	1.182	0.398	4.042129731	2.1892	242762	34.74	0.255	0.071882007	0.121248499	31477	1.888	2.290034611	0.1273	57.45	4.561995301	3.978089173	-1.109166667	5831	74262.62612	220.2176875	3.820332845	0.0256	3.106936878	92.8006135	149343	3.059941888	0.96268	254.0633093	6.33	1.03	-0.307418033	1.17	4.57
1991	0.321	230.1274874	476182.2578	0.249	0.183	0.8107769	54767.98044	4.538	2.6718	4.1214545	1.9395702	0.167221083	1.193	1.954242509	4.9836	0.61	1.3711074	-0.1739	5.103807141	0.9648636	0.1204	1.743	0.518	4.242045902	2.4242	411745	34.75	0.2	0.846955325	0.153286675	86163	1.843	1.897627091	0.3815	75.52	4.758836225	4.909422297	-0.027372222	7287	77921.5304	220.8954796	4.036389329	0.0225	2.987901615	69.04195804	173338	3.586249639	1.561702	276.753758	6.22	0.96	-0.388064516	0.71	4.51
1992	0.455	217.5468482	448045.3077	0.306	0.168	0.9490798	66027.45278	5.176	2.9007	5.2168957	2.425362	0.122184857	1.119	2.08278537	4.8438	1.83	1.842454	0.1391	4.24345973	2.0509702	0.1319	1.812	0.44	4.231254783	1.9744	721292	34.79	0.208	-0.036212173	0.158834951	277340	1.828	1.698970004	0.5949	86.95	2.986771734	4.570344427	-0.200483333	5150	51904.64092	231.1220628	4.649169289	0.0269	3.039961546	100.4583333	260667	3.20871002	1.912315	279.107814	6.11	0.8	-0.616169355	0.41	4.56
1993	0.5528	310.2904309	595350.8826	0.34	0.1728	1.2495385	129173.8809	5.497	3.0588	7.1264615	3.0344615	0.104616307	1.1	1.748188027	5.482	1.82	2.8424615	0.0692	4.694262893	3.7439228	0.1201	1.82	0.344	4.454157489	1.8486	894864	34.8	0.271	0.348304863	0	862853	1.45	2.356025857	0.6097	84.8	2.51851394	4.788931606	-0.60047619	796	34976.54538	168.0266202	4.579954995	0.0194	2.854657108	63.55172414	513497	3.176669933	2.359878	249.4596739	5.79	0.8	-0.525221774	-0.16	4.05
1994	0.8677	271.4142295	528702.6561	0.363	0.09218	1.6827784	43575.03485	5.416	3.2118	13.0012455	5.7667545	0.435276968	0.952	3.229425848	7.7922	0.89	5.5517126	-0.002	5.436881104	3.1386412	0.1139	1.42	0.235	4.448980198	2.4026	783479	34.86	0.29	0.861534411	0	342491	1.374	2.421603927	0.5405	62.84	3.731266349	4.172719661	-0.23015411	200	50177.50381	198.0110475	4.335999178	0.0174	1.79902568	33.93203883	658685	3.229169703	2.149025	258.351448	5.85	-0.39	-0.819429825	0.28	3.84
1995	0.7878	256.7589618	391872.8908	0.373	0.06657	1.336386	49129.95821	4.938	3.0696	10.3897895	4.5978246	0.58530893	0.8	2.359835482	9.4142	1.31	4.4555789	-0.2248	1.414973348	0.9802304	0.2161	1.14	0.201	4.546641314	2.2004	616080	34.7	0.3	0.960470778	0	93714	1.703	2.762678564	0.4262	63.75	2.935507266	3.116607744	0.263961111	193	94990.13913	214.6403442	4.874655733	0.0196	1.471353853	44.17275748	648229	2.673941999	1.808805	256.3774189	6.09	1.27	-0.759572368	-0.37	4.33
1996	0.6982	343.5588251	570451.8113	0.446	0.0843	1.457009	10591.48447	5.503	2.8885	7.4671712	3.940036	0.818355309	0.76	1.612783857	11.952	-1.39	2.0701261	0.2397	4.875269675	0.3608524	0.2075	0.971	0.195	3.995055949	1.5643	440434	34.74	0.349	0.969415912	0	74310	1.848	2.653212514	0.4874	70.22	4.646089901	4.757160596	-0.078416667	503	198914.8353	133.9700818	4.819853096	0.0229	2.685347611	45.76363636	547983	3.020775488	1.690365	250.2478182	5.67	0.81	-0.622527778	-0.64	3.75
1997	1.0325	375.9939608	661256.3993	0.505	0.07807	2.0286452	66460.12255	5.263	3.2376	8.8043871	4.0466452	0.372813299	0.816	1.986771734	8.6	0.76	2.7290968	0.173	4.614612512	0.380747	0.0914	1.097	0.202	4.268200885	1.8258	718518	34.85	0.362	0.553883027	0.003293085	94750	2.054	3.074816441	0.4007	73.31	4.738796408	4.660941331	-0.2	911	176846.0995	148.8461364	4.826470025	0.0161	1.267535307	28.96376812	369535	2.77815125	1.534212	202.9366278	5.42	-0.66	-0.99125	-0.25	3.55
