"Year","Bottom_mean_AMON.umol.l.","Bottom_mean_CPHL.mg.m.3.","Bottom_mean_DOXY.umol.l.","Bottom_mean_NTOT.umol.l.","Bottom_mean_NTRA.umol.l.","Bottom_mean_NTRI.umol.l.","Bottom_mean_PHOS.umol.l.","Bottom_mean_PSAL","Bottom_mean_SLCA.umol.l.","Bottom_mean_TEMP","Bottom_mean_TPHS.umol.l.","Surface_mean_AMON.umol.l.","Surface_mean_CPHL.mg.m.3.","Surface_mean_DOXY.umol.l.","Surface_mean_NTOT.umol.l.","Surface_mean_NTRA.umol.l.","Surface_mean_NTRI.umol.l.","Surface_mean_PHOS.umol.l.","Surface_mean_PSAL","Surface_mean_SLCA.umol.l.","Surface_mean_TEMP","Surface_mean_TPHS.umol.l.","Clupea.harengus","Gadus.morhua","Melanogrammus.aeglefinus","Merlangius.merlangus","Sprattus.sprattus","Trisopterus.esmarkii"
1984,1.33963963964,0.746666666667,222.618064516,22.5821917808,6.63521367521,0.317606837607,1.1623255814,33.5557292308,7.305,7.43648377125,1.87848837209,1.05363636364,1.00666666667,317.863051948,21.8108108108,3.48915254237,0.295084745763,0.319482758621,23.2779441176,3.3380952381,8.56913107511,0.850689655172,3980.57889473684,49.1053684210526,285.368315789474,431.789684210526,1361.73673684211,53.4736842105263
1985,1.44272727273,1.63235294118,227.031830065,22.2333333333,6.44899371069,0.198322147651,0.954270833333,33.5868256881,5.46833333333,7.74486238532,1.66088607595,0.949541284404,2.076,318.371013514,20.5757575758,3.17691823899,0.192905405405,0.253989637306,23.186904936,3.27049180328,8.34910420475,0.716708860759,8232.29405882353,97.9412352941176,533.411764705882,438.470294117647,453.705764705882,1862.05882352941
1986,1.52,0.785714285714,231.488488372,22.6229508197,5.7838125,0.262156862745,1.13382352941,33.6860859031,5.47868852459,7.57425110132,2.11252873563,1.73291139241,3.40480392157,312.183211009,24.4758064516,3.79695067265,0.235092592593,0.322284644195,21.9974292453,4.55081967213,8.99432075472,0.918630136986,12147.1498,94.4092272727273,143.8635,1058.49995454545,227.181727272727,473.727272727273
1987,1.46016949153,2.2,230.037650602,20.5678571429,7.32196428571,0.213788819876,1.06732673267,33.7253722084,5.70361445783,6.96589805825,1.61840707965,1.32178217822,5.63760869565,319.470434783,23.9349514563,4.58379844961,0.220403225806,0.270689655172,24.0763138402,3.934,8.84433009709,0.867738693467,16928.24008,115.296407407407,648.777703703704,1450.44459259259,2035.7407037037,734.555518518519
1988,0.679508196721,2.42156862745,234.553431953,16.7672413793,5.50316176471,0.297259259259,0.580405405405,33.9398717949,2.64947368421,7.962417962,1.13736111111,1.17990196078,4.01485380117,304.981859504,21.6068965517,3.46561357702,0.284934383202,0.233267326733,26.9407515843,1.18818181818,10.0077406932,0.84614379085,8600.062375,118.222222222222,521.222055555556,2792.11111111111,69.8888888888889,55.8332222222222
1989,1.20845070423,1.50208333333,263.021628959,19.31,5.72035587189,0.444252873563,0.665570469799,33.9799542744,3.8,8.41333069307,1.10573333333,1.20700934579,2.00371859296,305.953633094,21.276119403,3.89522277228,0.404657894737,0.334176610979,27.2662734375,2.80378787879,9.8168953125,0.834227272727,7436.52626315789,103.315736842105,307.420947368421,872.157736842105,49.8421052631579,293.894736842105
1990,2.40983606557,1.59470833333,259.514692202,19.9274853801,5.26791131855,0.352128514056,0.913571428571,34.4489011324,7.50064516129,8.78801086957,1.75961432507,0.879404466501,1.47402515723,289.776941098,20.1052356021,2.0392768595,0.215155502392,0.263692468619,29.0304356808,2.86594778661,12.0243349719,0.745086419753,2106.66666666667,34.8333333333333,86.2778888888889,1067.27788888889,93.6664444444445,263.5
1991,3.10894941634,1.4376300578,244.776896552,20.9344680851,6.38725623583,0.370547263682,1.14479638009,34.2907438291,8.76941964286,7.72934645669,1.44463114754,0.967953667954,1.78298342541,304.864068768,19.0958333333,2.67350446429,0.194668304668,0.237349665924,29.4622094136,2.42466960352,9.25799692308,0.671042471042,1483.56821052632,54.6317894736842,253.368315789474,1270.10510526316,20.3157894736842,1126.47357894737
1992,2.50114068441,1.95937062937,242.28,20.7438053097,5.2283255814,0.30476076555,1.15543123543,34.0471234592,9.78321678322,8.21578383838,1.73227678571,0.738909090909,2.08235087719,300.339493671,18.6310344828,3.47024774775,0.181372093023,0.286027088036,29.5305650907,3.53265306122,10.2869716853,0.657967479675,1796.63152631579,166.829,816.210473684211,2186.68421052632,691.842105263158,1380.21063157895
1993,2.75779816514,1.13759124088,249.005488959,24.36,7.95109243697,0.283025210084,1.3851800554,34.0449705607,11.6147632312,6.98107070707,1.59117977528,1.02227272727,2.3021641791,317.317206349,20.1220588235,3.72497282609,0.16863760218,0.27553133515,28.2881519417,3.75549450549,8.67213648294,0.684623115578,33388.0499,155.45,1528.1001,1523.65015,1456.3501,942.65
1994,3.18634361233,1.37037313433,246.221410256,23.7224299065,7.73646226415,0.409739952719,1.36882352941,33.9291283702,11.6952941176,6.97840239044,1.8600913242,1.10504587156,2.79659722222,309.417491961,21.4218009479,5.24694117647,0.354941176471,0.31224691358,29.4144432927,4.70305882353,9.129718,0.68004587156,3383.89447368421,117.4001,550.4,532.34995,185.70005,188.60125
1995,2.80984455959,1.45785123967,230.234774436,30.0315508021,8.79056886228,0.231017964072,1.58222891566,33.9815640909,14.1684684685,6.90640354767,2.59921465969,0.857435897436,2.231875,308.888297872,23.080952381,5.03514124294,0.192747875354,0.219886039886,27.394148913,4.96129943503,9.47816808511,0.60793814433,638.19995,155.20015,908.65005,1061.24995,1110.3,185.45
1996,2.68711340206,1.06695652174,219.877176259,24.0190217391,7.94636666667,0.204933333333,1.28351170569,34.1141032703,12.0323333333,7.08617063571,2.0934502924,0.776439790576,2.46592592593,317.998846154,19.2864130435,3.18345276873,0.14662295082,0.233517915309,29.2553164414,4.00456026059,9.00328026906,0.617923497268,9979.42847619048,65.1428571428571,595.23819047619,862.761714285714,629.762,14225.2381428571
1997,5.09069767442,0.953846153846,204.505348837,24.4541984733,7.255125,0.284291666667,1.64591666667,34.1778160714,15.7108333333,7.42805357143,2.8712295082,0.889344262295,2.57536231884,307.855900901,20.3758064516,3.17057142857,0.15856557377,0.187918367347,29.6410384422,3.64367346939,9.45692462312,0.564262295082,13639.5,149.768636363636,1585.68181818182,497.9545,11.7727272727273,3429.45459090909
1998,6.90555555556,0.996101694915,219.69025641,25.2030864198,7.22014285714,0.288,1.43698924731,34.1308229314,14.9716981132,7.78735,2.64641025641,0.926282051282,3.42459915612,304.866865672,21.7506410256,4.76722419929,0.26231316726,0.253191489362,28.8654016548,5.14285714286,9.14993380615,0.63,5706.09528571429,91.7143333333333,202.904571428571,546.000238095238,43.4762380952381,1486.66671428571
1999,7.64655172414,1.45663366337,221.040481928,24.5725146199,7.53294339623,0.277094339623,1.62830188679,34.0175698667,16.7596958175,8.09628723404,2.65777142857,1.11137724551,2.97585,303.135087719,22.7239520958,6.3384765625,0.2224609375,0.2296484375,28.0194606557,6.357421875,10.6316543478,0.620119047619,1732.00019047619,53.1429047619048,40.4761904761905,763.285571428571,292.095238095238,261.333380952381
2000,4.675,1.995,232.046631206,24.0555023923,7.59986111111,0.196736111111,1.5984375,33.994864,14.9777003484,7.86397910798,1.8960199005,0.844198895028,2.82484978541,305.014425087,22.219,4.36837545126,0.162274368231,0.236750902527,28.10484038,6.47220216606,10.2841452607,0.6191,13059.8499,75.7001,1830.75005,1416.8498,87.8001,1092.04995
2001,2.56057142857,1.51445454545,231.121745455,20.7276315789,7.13491694352,0.233255813953,1.15156666667,34.0004812652,11.1790697674,7.43824817518,1.51615384615,0.772289156627,3.03216666667,307.282921348,20.7093333333,3.72385665529,0.170677966102,0.249118644068,28.6922538272,4.84372881356,9.38821481481,0.607911111111,12569.9499,68.60005,2765.85,2443.0004,731.24975,4614.29985
2002,3.09893617021,1.32141732283,227.793519164,22.1430962343,8.41319620253,0.248481012658,1.49515822785,34.0476170949,12.5772151899,7.84137179487,1.82902222222,0.557458563536,2.05496350365,306.792695035,21.4737704918,5.30200647249,0.184919093851,0.271521035599,27.6498790155,5.38932038835,10.4853643411,0.565720164609,7450.95015,206.7,499.2999,3087.19985,227.55015,1253.19995
2003,1.94189944134,1.60440298507,230.702569444,19.7824034335,7.94074918567,0.249379084967,1.06797385621,34.2044721649,11.5133550489,7.72037113402,1.27423423423,0.580459770115,2.43646616541,309.353859649,19.845,3.29735973597,0.145463576159,0.234488448845,29.1064785901,3.8204620462,9.96577545692,0.524958333333,5870.57171428571,38.1905238095238,44.5714285714286,497.666714285714,7.0952380952381,207.761904761905
