Year	Her_R	BW_R	Mac_R	Her_B	BW_B	Mac_B	BeaRedfish_B	Saithe_B	Herring_W6 	BW_W6	Mac_W6	Maxchl_NorBas	Maxchl_LofBas	Puffin	Kittywake	Guillemoth	Nao	SPG_winter	Norw-Lof_gyre	Svinoy_coreT	Zoo_B_4_8W	Zoo_B_meanBas	Zoo_NE_Icel	GreenHali_B
1995	15409	9296	2475.6	3.561	2.317	2.20	0.25	0.04	0.296	0.167	0.501	1.953681368	3.028914068	956026	140753	72299	3.96	-2.28	2.0433	7.93	16.2	13.6	16.2	0.49
1996	5587	27148	3048.0	4.082	2.207	2.08	0.24	0.03	0.261	0.17	0.484	1.953681368	3.028914068	902370	140282	62434	-3.78	-1.27	-2.2709	7.86	17.0	11.7	18.7	0.52
1997	2064	43492	2758.0	5.287	2.441	2.02	0.29	0.03	0.229	0.166	0.453	1.953681368	3.028914068	1027844	133415	61324	-0.17	-0.63	-0.1871	8.08	12.9	7.1	16.2	0.53
1998	10605	26798	3365.2	5.818	3.596	2.00	0.35	0.04	0.217	0.178	0.452	2.307778891	3.674347307	953807	122745	74628	0.72	-0.44	1.3845	8.25	16.4	13.7	15.2	0.54
1999	6409	20811	3890.3	5.681	4.329	2.18	0.44	0.07	0.24	0.17	0.452	1.895307885	3.299793815	973941	117931	78751	1.7	-0.24	1.3148	7.92	12.2	10.4	24.0	0.55
2000	33151	39433	3112.7	4.733	4.196	2.14	0.54	0.1	0.271	0.156	0.463	1.657957328	2.112601081	960085	112982	101004	2.8	-0.2027	0.3067	8.37	18.1	13.5	17.4	0.55
2001	29265	56257	5147.4	3.94	4.561	2.03	0.48	0.13	0.247	0.163	0.474	1.591225471	1.608009066	852154	92230	47621	-1.9	-0.53	-0.6485	8.28	12.7	8.5	14.8	0.55
2002	11709	49408	9047.5	3.491	5.44	1.95	0.6	0.16	0.275	0.155	0.461	1.943778339	2.114057283	859223	84697	52918	0.76	-0.19	-0.6742	8.82	14.7	13.6	24.8	0.55
2003	6779	52701	3109.6	4.157	6.866	2.00	0.65	0.16	0.272	0.148	0.477	2.335303947	1.783169644	922870	72562	43680	0.2	0.01	-1.6238	8.68	20.1	10.3	25.4	0.55
2004	59565	28711	3719.1	5.292	6.777	2.48	0.67	0.15	0.241	0.146	0.485	2.108419756	1.902610843	837704	60313	16719	-0.07	0.32	0.2821	8.31	14.0	8.5	14.2	0.56
2005	25164	22150	5649.1	5.447	6.047	2.31	0.74	0.14	0.267	0.137	0.44	1.285335154	1.35036352	800000	80000	5000	0.12	0.69	0.6081	8.24	10.4	8.5	18.7	0.56
2006	45195	9076	11478.7	5.461	5.858	2.24	0.69	0.15	0.272	0.138	0.479	1.659686214	1.325404624	810102	72930	10139	-1.09	0.94	-0.5633	8.59	10.9	5.4	16.6	0.56
2007	11958	5002	5173.2	7.092	4.671	2.41	0.85	0.14	0.265	0.13	0.456	1.653747488	1.333465831	842005	60918	1947	2.79	0.89	0.2956	8.83	10.9	7.5	19.8	0.58
2008	16558	5662	5362.8	7.235	3.603	2.97	0.84	0.17	0.269	0.133	0.444	1.684481169	1.930502269	723647	58077	426	2.1	0.62	0.137	8.17	6.8	7.0	11.4	0.61
2009	6847	5740	5111.5	7.263	2.767	3.59	0.9	0.17	0.27	0.138	0.424	1.613878726	1.974071913	564353	57567	1103	-0.41	0.26	-0.4785	8.76	3.5	6.4	9.4	0.64
2010	4389	14912	6702.6	6.458	2.661	3.87	0.8	0.15	0.251	0.163	0.418	2.096307726	1.851409184	643396	52690	814	-4.64	0.38	-0.354	8.42	4.0	5.4	6.5	0.68
2011	20181	18422	8129.4	6.068	2.666	4.47	0.78	0.13	0.246	0.169	0.411	1.432943961	1.104166926	567959	52428	878	-1.57	1.05	0.7459	8.53	10.0	7.1	11.1	0.71
2012	5419	18818	6004.4	5.874	3.311	4.23	0.87	0.11	0.273	0.172	0.401	1.030928308	1.269771957	373847	57726	645	3.17	0.96	0.2143	8.27	4.8	6.6	9.3	0.73
2013	9185	16382	4239.7	5.571	3.607	4.55	0.84	0.09	0.305	0.162	0.386	1.520059998	1.408449355	558415	49357	168	-1.97	1.32	-0.8049	8.35	9.2	7.2	13.9	0.74
2014	5967	38204	11375.8	5.496	3.867	5.30	0.83	0.09	0.301	0.155	0.395	1.520059998	1.408449355	500073	53170	564	3.1	0.66	1.95	8.22	10.3	9.2	13.7	0.73
2015	14748	66440	7206.6	5.264	4.208	5.17	0.82	0.09	0.299	0.155	0.392	1.520059998	1.408449355	500073	53170	564	3.56	0.25	1.54	8.29	6.7	6.7	7.0	0.73
