year	dia_spr	dia_sum	dino_spr	dino_sum	cy_spr	cy_sum	acar_spr	acar_sum	pseu_spr	pseu_sum	temo_spr	temo_sum	clado_spr	clado_sum	cod	sprat	herring
1980	2.409121231	0.579783597	2.319247677	2.332034277	1.26245109	2.694034538	2.610180897	3.7767617	3.80214748	3.730333578	1.565257343	3.32037711	2.514547753	3.610601023	2.414814896	3.077367905	3.67990917
1981	2.817646668	0.755493728	2.08670855	2.351945039	1.26245109	2.439474803	2.12557343	3.515383218	2.996095568	3.838808969	1.729198549	3.415996369	1.071391003	3.713494236	2.419191654	2.700790221	3.578283837
1982	2.006080783	1.741742342	2.174754472	2.11709887	1.26245109	2.533619558	2.880819938	3.867796376	3.521366565	3.761916358	1.759667845	2.908894397	2.174548225	4.398055444	2.373557289	3.316955307	3.675494216
1983	0.426023016	1.486359626	1.662294967	2.343676375	1.627847001	2.079217436	1.929418926	3.581078521	2.672097858	3.644621831	1.574031268	3.245512675	1.071391003	4.523653813	2.292616908	4.001975881	3.662502845
1984	2.448048972	1.839666557	1.504362105	2.859596377	0.385606274	1.913193746	2.944114517	3.836047054	3.527698673	3.95167137	1.974327435	3.595427324	2.279142006	3.644623199	2.186509898	3.5264039	3.737415301
1985	2.36219398	-0.590066877	1.441380885	1.857917194	0.594060901	2.590080205	2.775837911	3.507453653	3.006198537	3.782575974	1.193820026	3.32275586	1.273001272	3.222259882	2.059945725	3.196203829	3.829046337
1986	3.535590302	1.371197207	1.426641368	2.256332818	0.696574792	2.582899314	2.777342091	3.525527093	3.213006817	3.70006762	1.535136729	3.656611204	1.920957707	3.890027645	1.918649083	3.481385292	3.794627445
1987	2.713144314	1.727890829	1.765787727	2.405354899	0.779452183	2.280038581	2.588689709	3.686399337	2.562710468	3.863484277	0.979489841	3.640556403	1.120197756	3.556987449	1.780541712	3.934649923	3.832891945
1988	3.349401871	1.741742342	1.917022108	1.956917231	0.413299764	1.883633049	3.042044879	3.672443631	3.240004774	3.514799662	1.964040306	3.038087911	1.92282922	4.179332325	1.665813342	3.320291719	3.641424531
1989	0.772321707	1.769838703	1.245512668	1.740307412	1.178775572	2.320976677	3.319139575	3.215560314	3.390307285	3.439166878	3.029050457	3.184743792	2.491289093	4.324405252	1.538802782	4.242280475	3.801239017
1990	0.713616529	1.796227314	1.132995701	2.471040745	1.532690695	2.534413243	3.51389958	3.661961352	3.455912037	3.130891944	3.300407125	3.408640006	2.746843802	4.227609814	1.379775673	4.218787501	3.855827958
1991	0.645716939	0.395675785	1.644133196	2.120086722	1.387300822	2.908550962	3.048496183	3.678684078	2.635633604	2.841732519	2.528060818	3.691959802	2.607853553	4.672953703	1.205891325	4.456429297	4.134648404
1992	0.11058971	0.98788961	1.529250645	1.956917231	1.16716959	3.056527537	3.57290404	3.444461186	2.87775443	3.70006762	3.612134578	2.908894397	1.693726949	3.06069784	1.060905341	4.493414152	4.025683938
1993	0.877889425	1.320478633	1.879170455	2.82928447	1.313107595	2.731843305	3.581856605	3.672443631	3.100996781	3.254467511	3.12562911	3.381746651	2.788875116	4.466665001	0.994395573	4.761754378	4.112804777
1994	0.877083257	1.596267126	1.331184267	3.005061623	0.955110231	2.862755527	3.366289513	4.168595685	3.340444115	3.254467511	2.980976763	3.725367062	2.402875226	3.06069784	1.030882745	4.362446463	4.202476915
1995	0.580126325	1.57630679	2.174754472	3.015966338	1.525886652	2.738584765	3.619942595	3.480034325	2.994694144	3.575677775	3.008052397	3.442405093	2.380211242	1.84509804	1.132005549	5.088598133	3.903727065
1996	2.462093885	1.202079441	1.842103516	3.434715454	1.453578227	2.448188258	3.150948224	3.766025671	3.335508047	3.397567597	2.498655095	3.578650903	1.976579219	2.418707048	1.157668291	4.981888555	3.992316501
1997	1.658345341	1.457291339	2.235546121	2.537830424	1.548168222	2.523422576	3.720366061	3.838826202	2.844352896	3.754355287	2.427648371	3.295906806	1.693726949	4.140353747	0.955060544	4.792133144	3.751931737
1998	0.643452676	1.783867863	1.742151452	2.664892891	1.68645751	2.399059045	4.027873591	4.003268566	3.477947696	3.250220332	3.753473624	3.582177038	2.658692643	2.627645116	0.704326831	4.863693705	3.849400673
1999	0.858055718	0.764325606	2.017630084	3.194335037	1.713885177	2.673253206	3.670466192	3.745582213	3.289198626	3.142076461	3.612134578	2.794313736	3.035179496	4.208649585	0.556977826	4.637682174	3.620104679
2000	1.65332831	1.44836617	1.812298227	3.28632104	1.698222375	2.582899314	3.32085222	3.7766225	2.458033192	3.414694865	2.910997716	3.806411762	2.000434077	3.5845762	0.538431657	4.793835932	3.497887406
2001	1.000911062	0.658488381	1.598604497	2.876132359	1.638868475	2.405023465	3.462166494	3.444461186	3.627133003	3.449658354	2.745855195	3.381746651	2.872738827	4.010179774	0.590399886	4.493048863	3.491215744
2002	1.471775621	2.402936808	1.181243161	2.262697832	1.382251246	2.47787627	3.451978219	3.618536186	3.132553177	3.353403259	3.343014497	3.283188116	2.794068781	3.912735606	0.624249865	4.671165226	3.71522514
2003	2.594683088	1.36815667	1.918847803	2.749925602	1.350344948	2.090998298	3.732262135	4.195380679	2.865749846	3.683024512	2.435438943	3.402075012	2.531246612	3.848183983	0.575174427	4.79754866	4.122639703
2004	0.424881637	0.84416641	2.2139452	2.772554197	1.773369498	2.597453844	3.716729345	3.948135737	3.080157311	2.991890304	3.358620034	3.510879985	3.096701502	3.322649929	0.447210244	4.825961944	3.928771166
2005	2.403470562	2.047823718	1.877503803	2.537830424	1.432279642	2.621134721	3.706980236	3.808075868	2.87775443	3.520461697	2.833147112	3.675511025	2.088204262	4.132689181	0.341952735	4.614772178	4.003770855
2006	-0.823908741	0.853698212	2.188379999	2.525210715	0.854913022	2.144418519	3.542040749	3.61359934	3.417986231	3.650055984	3.16823223	3.5702819	2.453471234	3.834203708	0.387257603	4.895403587	3.867702094
2007	0.758154622	0.815577748	1.724365997	2.458624254	1.345569756	2.454295931	3.461517285	3.710021409	2.876145645	3.388740445	2.866065704	3.424151757	2.39521715	4.466665001	0.487522946	4.750150964	3.83288315
2008	0.932473765	1.135768515	1.414154098	3.285657883	1.830652814	2.534102291	3.57290404	3.596197101	3.297479687	3.565633193	3.404346142	3.616542345	2.746843802	4.497005084	0.549470607	4.571728719	3.74978484
2009	1.056523724	-0.585026652	1.662294967	2.565231344	1.439332694	3.056527537	3.645417448	3.574030489	3.377538378	3.437666056	3.485432362	3.900697333	2.974082139	3.058576069	0.539966868	4.617576287	4.026853641
2010	1.133698546	-0.585026652	1.721983639	2.686099772	0.741151599	2.533619558	2.842479074	3.655707332	2.825768188	3.36970368	2.248962359	3.463679988	1.431960796	3.7346816	0.463151107	4.46351991	4.06545388
2011	1.199206479	0.641474111	1.633407852	2.392221959	1.306210508	2.754325397	2.614064361	3.578798053	2.477849615	3.170532976	1.8372945	3.391143899	1.264649831	4.46999683	0.341497784	4.491990943	3.879052862
2012	0.33243846	0.322219295	1.750755171	2.50039018	0.57863921	2.857356623	2.792759865	3.251603034	2.959168049	3.25715091	3.188126459	3.317503678	2.765808177	4.243504987	0.201835442	4.318917808	4.057610179
2013	1.354166085	-0.554395797	1.445962076	2.706786889	0.542576476	2.173573754	2.973061873	3.246343046	3.068922846	3.317880324	2.919670627	3.489126838	3.245589194	4.018938186	0.065389318	4.280720889	3.845880753
2014	0.846337112	0.940815209	1.941998126	2.124442272	1.101815786	2.903049813	2.503493161	3.270857726	2.881659826	3.405564341	2.685223949	3.840728394	2.794068781	4.778121002	-0.059930475	4.124335626	3.990688193
