Year	Clupea.harengus	Sprattus.sprattus	Ammodytidae	Callionymidae	other.Clupeiformes	other.Gadiformes	Gadus.morhua	Gasterosteidae	Gobiidae	Merlangius.merlangus	Pleuronectes.platessa	other.Pleuronectiformes	Scorpaniformes	Solea.solea	Syngnathidae	Zoarcidae	Osmeridae	Elasmobranchii	Eutrigla.gurnardus	Liparidae	Stichaeidae	Scombridae
1980	6.727431725	8.910855587	4.875197323	1.386294361	0	3.988984047	3.912023005	0	0	6.65415252	3.63758616	6.522092798	0.693147181	0	0	0	0	0.693147181	1.609437912	0	0	0
1981	6.406879986	7.156956365	0.693147181	1.609437912	0	4.094344562	3.688879454	0	0.693147181	6.64898455	4.369447852	6.391917113	0.693147181	1.098612289	0	0	0	1.098612289	2.833213344	0.693147181	1.791759469	0
1982	7.171656823	6.525029658	0.693147181	0.693147181	0	3.526360525	3.091042453	0.693147181	0.693147181	6.095824562	3.17805383	5.659482216	1.386294361	0	0	0	0	0.693147181	0.693147181	0	0	0
1983	8.019283793	7.584264818	0	1.609437912	0	3.044522438	3.850147602	0	0	5.147494477	4.158883083	6.778784898	1.098612289	0	0.693147181	0	0	1.098612289	2.397895273	0	0.693147181	0
1984	8.525954697	6.975413927	2.708050201	1.609437912	0	2.772588722	3.688879454	0	0	6.688354714	4.158883083	6.432940093	1.609437912	1.386294361	0	0	0	0.693147181	3.663561646	0	0	0
1985	8.743531634	6.642486801	0.693147181	0.693147181	0	4.127134385	3.091042453	1.386294361	3.135494216	5.860786223	4.204692619	6.300785795	1.386294361	1.098612289	0.693147181	0	0.2007616	1.386294361	2.197224577	0	0	0
1986	8.952217102	6.391917113	0.693147181	1.098612289	0	2.708050201	3.828641396	1.098612289	2.079441542	5.726847748	4.442651256	6.859614904	1.791759469	0.693147181	0	0.693147181	0.559615788	1.098612289	1.098612289	0	0	0.693147181
1987	8.458716262	7.076653815	0.693147181	1.609437912	0	3.135494216	4.356708827	1.098612289	2.890371758	6.88550967	4.9698133	7.418780883	2.48490665	0.693147181	0	0	1.516445046	1.791759469	0.693147181	0	0	0.693147181
1988	9.029537661	7.678326357	0.693147181	1.791759469	0	1.791759469	2.63905733	2.302585093	0.693147181	6.900730664	5.159055299	7.296413269	1.098612289	1.609437912	0	0	0	2.302585093	1.945910149	0	0	0
1989	8.494333897	7.135687347	1.609437912	2.397895273	0	2.772588722	2.564949357	3.871201011	1.791759469	6.466144724	5.159055299	7.518064181	2.564949357	1.098612289	1.098612289	0.693147181	0	1.098612289	3.044522438	0.693147181	0	0.693147181
